review_id,order_id,customer_id,restaurant_id,review_rating,review_text,sentiment,review_length,review_text_lower,review_text_no_punctuation,tokens,tokens_no_stopwords,lemmatized_tokens,clean_text
REV_000039,ORD_006118,CUST_01293,REST_0182,4,Really good experience. The food arrived hot and fresh. The delivery was faster than expected.,Positive,94,really good experience. the food arrived hot and fresh. the delivery was faster than expected.,really good experience the food arrived hot and fresh the delivery was faster than expected,"['really', 'good', 'experience', 'the', 'food', 'arrived', 'hot', 'and', 'fresh', 'the', 'delivery', 'was', 'faster', 'than', 'expected']","['really', 'good', 'experience', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'faster', 'expected']","['really', 'good', 'experience', 'food', 'arrived', 'hot', 'fresh', 'delivery', 'faster', 'expected']",really good experience food arrived hot fresh delivery faster expected
REV_000040,ORD_009118,CUST_01308,REST_0028,4,Very happy with the order. Everything tasted great. The delivery was smooth.,Positive,76,very happy with the order. everything tasted great. the delivery was smooth.,very happy with the order everything tasted great the delivery was smooth,"['very', 'happy', 'with', 'the', 'order', 'everything', 'tasted', 'great', 'the', 'delivery', 'was', 'smooth']","['happy', 'order', 'everything', 'tasted', 'great', 'delivery', 'smooth']","['happy', 'order', 'everything', 'tasted', 'great', 'delivery', 'smooth']",happy order everything tasted great delivery smooth
REV_000041,ORD_003178,CUST_00581,REST_0188,4,The food quality was excellent. Everything was packed properly.,Positive,63,the food quality was excellent. everything was packed properly.,the food quality was excellent everything was packed properly,"['the', 'food', 'quality', 'was', 'excellent', 'everything', 'was', 'packed', 'properly']","['food', 'quality', 'excellent', 'everything', 'packed', 'properly']","['food', 'quality', 'excellent', 'everything', 'packed', 'properly']",food quality excellent everything packed properly
REV_000042,ORD_006993,CUST_00420,REST_0158,4,Very happy with the order. Everything tasted fresh. Everything arrived in good condition.,Positive,89,very happy with the order. everything tasted fresh. everything arrived in good condition.,very happy with the order everything tasted fresh everything arrived in good condition,"['very', 'happy', 'with', 'the', 'order', 'everything', 'tasted', 'fresh', 'everything', 'arrived', 'in', 'good', 'condition']","['happy', 'order', 'everything', 'tasted', 'fresh', 'everything', 'arrived', 'good', 'condition']","['happy', 'order', 'everything', 'tasted', 'fresh', 'everything', 'arrived', 'good', 'condition']",happy order everything tasted fresh everything arrived good condition
REV_000043,ORD_007573,CUST_01482,REST_0124,4,Everything tasted great. The order arrived on time.,Positive,51,everything tasted great. the order arrived on time.,everything tasted great the order arrived on time,"['everything', 'tasted', 'great', 'the', 'order', 'arrived', 'on', 'time']","['everything', 'tasted', 'great', 'order', 'arrived', 'time']","['everything', 'tasted', 'great', 'order', 'arrived', 'time']",everything tasted great order arrived time
REV_000044,ORD_009494,CUST_01192,REST_0134,4,The meal was flavorful and satisfying. The order arrived on time.,Positive,65,the meal was flavorful and satisfying. the order arrived on time.,the meal was flavorful and satisfying the order arrived on time,"['the', 'meal', 'was', 'flavorful', 'and', 'satisfying', 'the', 'order', 'arrived', 'on', 'time']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'time']","['meal', 'flavorful', 'satisfying', 'order', 'arrived', 'time']",meal flavorful satisfying order arrived time
REV_000045,ORD_003600,CUST_00192,REST_0013,3,The experience was average. The food was neither great nor bad. The delivery experience was average.,Neutral,100,the experience was average. the food was neither great nor bad. the delivery experience was average.,the experience was average the food was neither great nor bad the delivery experience was average,"['the', 'experience', 'was', 'average', 'the', 'food', 'was', 'neither', 'great', 'nor', 'bad', 'the', 'delivery', 'experience', 'was', 'average']","['experience', 'average', 'food', 'neither', 'great', 'bad', 'delivery', 'experience', 'average']","['experience', 'average', 'food', 'neither', 'great', 'bad', 'delivery', 'experience', 'average']",experience average food neither great bad delivery experience average
REV_000046,ORD_002917,CUST_00445,REST_0192,5,Really good experience. Everything tasted great. Delivery was quick.,Positive,68,really good experience. everything tasted great. delivery was quick.,really good experience everything tasted great delivery was quick,"['really', 'good', 'experience', 'everything', 'tasted', 'great', 'delivery', 'was', 'quick']","['really', 'good', 'experience', 'everything', 'tasted', 'great', 'delivery', 'quick']","['really', 'good', 'experience', 'everything', 'tasted', 'great', 'delivery', 'quick']",really good experience everything tasted great delivery quick
REV_000047,ORD_005952,CUST_01154,REST_0091,3,The food was neither great nor bad. Delivery was neither fast nor slow.,Neutral,71,the food was neither great nor bad. delivery was neither fast nor slow.,the food was neither great nor bad delivery was neither fast nor slow,"['the', 'food', 'was', 'neither', 'great', 'nor', 'bad', 'delivery', 'was', 'neither', 'fast', 'nor', 'slow']","['food', 'neither', 'great', 'bad', 'delivery', 'neither', 'fast', 'slow']","['food', 'neither', 'great', 'bad', 'delivery', 'neither', 'fast', 'slow']",food neither great bad delivery neither fast slow
REV_000048,ORD_003120,CUST_00160,REST_0072,5,Very happy with the order. Everything tasted great. Delivery was quick.,Positive,71,very happy with the order. everything tasted great. delivery was quick.,very happy with the order everything tasted great delivery was quick,"['very', 'happy', 'with', 'the', 'order', 'everything', 'tasted', 'great', 'delivery', 'was', 'quick']","['happy', 'order', 'everything', 'tasted', 'great', 'delivery', 'quick']","['happy', 'order', 'everything', 'tasted', 'great', 'delivery', 'quick']",happy order everything tasted great delivery quick
REV_000049,ORD_008242,CUST_00474,REST_0104,5,Loved the overall experience.,Positive,29,loved the overall experience.,loved the overall experience,"['loved', 'the', 'overall', 'experience']","['loved', 'overall', 'experience']","['loved', 'overall', 'experience']",loved overall experience
REV_000050,ORD_003608,CUST_00745,REST_0103,3,The experience was acceptable. The meal was fine. Delivery was acceptable.,Neutral,74,the experience was acceptable. the meal was fine. delivery was acceptable.,the experience was acceptable the meal was fine delivery was acceptable,"['the', 'experience', 'was', 'acceptable', 'the', 'meal', 'was', 'fine', 'delivery', 'was', 'acceptable']","['experience', 'acceptable', 'meal', 'fine', 'delivery', 'acceptable']","['experience', 'acceptable', 'meal', 'fine', 'delivery', 'acceptable']",experience acceptable meal fine delivery acceptable
REV_000051,ORD_004235,CUST_00214,REST_0108,4,The portion size was good. The packaging was good.,Positive,50,the portion size was good. the packaging was good.,the portion size was good the packaging was good,"['the', 'portion', 'size', 'was', 'good', 'the', 'packaging', 'was', 'good']","['portion', 'size', 'good', 'packaging', 'good']","['portion', 'size', 'good', 'packaging', 'good']",portion size good packaging good
REV_000052,ORD_001493,CUST_01313,REST_0117,5,The food was delicious.,Positive,23,the food was delicious.,the food was delicious,"['the', 'food', 'was', 'delicious']","['food', 'delicious']","['food', 'delicious']",food delicious
REV_000053,ORD_002930,CUST_00006,REST_0015,3,The experience was average.,Neutral,27,the experience was average.,the experience was average,"['the', 'experience', 'was', 'average']","['experience', 'average']","['experience', 'average']",experience average
REV_000054,ORD_002017,CUST_01275,REST_0084,4,Very satisfied with the order. The portion size was good. The delivery was smooth.,Positive,82,very satisfied with the order. the portion size was good. the delivery was smooth.,very satisfied with the order the portion size was good the delivery was smooth,"['very', 'satisfied', 'with', 'the', 'order', 'the', 'portion', 'size', 'was', 'good', 'the', 'delivery', 'was', 'smooth']","['satisfied', 'order', 'portion', 'size', 'good', 'delivery', 'smooth']","['satisfied', 'order', 'portion', 'size', 'good', 'delivery', 'smooth']",satisfied order portion size good delivery smooth
REV_000055,ORD_006998,CUST_00211,REST_0141,4,Loved the overall experience.,Positive,29,loved the overall experience.,loved the overall experience,"['loved', 'the', 'overall', 'experience']","['loved', 'overall', 'experience']","['loved', 'overall', 'experience']",loved overall experience
REV_000056,ORD_002497,CUST_00415,REST_0127,4,The portion size was good. The order arrived on time.,Positive,53,the portion size was good. the order arrived on time.,the portion size was good the order arrived on time,"['the', 'portion', 'size', 'was', 'good', 'the', 'order', 'arrived', 'on', 'time']","['portion', 'size', 'good', 'order', 'arrived', 'time']","['portion', 'size', 'good', 'order', 'arrived', 'time']",portion size good order arrived time
REV_000057,ORD_006902,CUST_01310,REST_0141,3,It was a decent experience. The food was neither great nor bad. The delivery was okay.,Neutral,86,it was a decent experience. the food was neither great nor bad. the delivery was okay.,it was a decent experience the food was neither great nor bad the delivery was okay,"['it', 'was', 'a', 'decent', 'experience', 'the', 'food', 'was', 'neither', 'great', 'nor', 'bad', 'the', 'delivery', 'was', 'okay']","['decent', 'experience', 'food', 'neither', 'great', 'bad', 'delivery', 'okay']","['decent', 'experience', 'food', 'neither', 'great', 'bad', 'delivery', 'okay']",decent experience food neither great bad delivery okay
REV_000058,ORD_006244,CUST_01135,REST_0131,5,The food was prepared really well. The order arrived on time.,Positive,61,the food was prepared really well. the order arrived on time.,the food was prepared really well the order arrived on time,"['the', 'food', 'was', 'prepared', 'really', 'well', 'the', 'order', 'arrived', 'on', 'time']","['food', 'prepared', 'really', 'well', 'order', 'arrived', 'time']","['food', 'prepared', 'really', 'well', 'order', 'arrived', 'time']",food prepared really well order arrived time
REV_000059,ORD_000636,CUST_01138,REST_0115,3,The food was okay overall. The meal was fine. The order arrived around the expected time.,Neutral,89,the food was okay overall. the meal was fine. the order arrived around the expected time.,the food was okay overall the meal was fine the order arrived around the expected time,"['the', 'food', 'was', 'okay', 'overall', 'the', 'meal', 'was', 'fine', 'the', 'order', 'arrived', 'around', 'the', 'expected', 'time']","['food', 'okay', 'overall', 'meal', 'fine', 'order', 'arrived', 'around', 'expected', 'time']","['food', 'okay', 'overall', 'meal', 'fine', 'order', 'arrived', 'around', 'expected', 'time']",food okay overall meal fine order arrived around expected time
